video_id,likes,thumbnail_link,extracted_text,labels,web_entities
0qpE8IHz3go,33742,https://i.ytimg.com/vi/0qpE8IHz3go/default.jpg,,"['Happiness', 'Facial expression', 'Smile', 'Laughter']","['Animation', 'The Big Trip', 'Cartoon', 'animated cartoon', 'Animated film', 'funny', 'Cartoon Network India', 'Humor', 'Television', 'Tom and Jerry']"
lHNmUUi6LzM,3635,https://i.ytimg.com/vi/lHNmUUi6LzM/default.jpg,TINA FEY,"['Facial expression', 'News', 'Smile', 'Happiness', 'Television show', 'Speech', 'Television presenter', 'Film', 'Laughter', 'Spokesperson']","['Maren Morris', 'Girl', 'Album', 'Country music', 'Girl', 'Dailymotion', 'Girl']"
m9sR3Z0vVOc,61187,https://i.ytimg.com/vi/m9sR3Z0vVOc/default.jpg,,"['Still life photography', 'Scale model', 'Toy']","['Computer Monitor', 'LED-backlit LCD', 'Light-emitting diode', 'Computer', 'Liquid-crystal display', 'Backlight', 'Display device']"
dx9mF1KJr0s,80553,https://i.ytimg.com/vi/dx9mF1KJr0s/default.jpg,W,"['Performing Arts', 'Performance', 'Gesture', 'Speech', 'One-piece garment', 'Singing']","['The Darkness', 'Friday Night', 'Amazon Music', 'loved', 'All by Myself', 'Love So Soft', 'create', 'Permission to Land', 'Song', 'Kelly Clarkson']"
J6R0X6NTnSw,132474,https://i.ytimg.com/vi/J6R0X6NTnSw/default.jpg,vevo AREN,"['Model', 'Long-sleeved T-shirt', 'Happiness', 'Photo shoot']",['Meter']
bo8OYPYRTIY,26416,https://i.ytimg.com/vi/bo8OYPYRTIY/default.jpg,Diego Show,"['Happiness', 'Television show', 'Display device']","['Maren Morris', 'Girl', 'Bella Thorne', 'Dailymotion', 'Girl', 'Movie theater', 'Girl', 'Guitarist']"
sfMwXjNo3Rs,7690,https://i.ytimg.com/vi/sfMwXjNo3Rs/default.jpg,INSIDER,"['Agriculture', 'Field', 'Agricultural machinery', 'Crop', 'Farm', 'Plantation', 'Machine', 'Paddy field', 'Agriculturist', 'Soil']","['Grass', 'Thatch', 'Lawn', 'Grasses', 'create', 'available', 'contented', 'Aeration', 'important', 'Science']"
al0lGtRpO5M,7625,https://i.ytimg.com/vi/al0lGtRpO5M/default.jpg,,"['Eyewear', 'Glasses', 'Vision Care', 'Audio equipment', 'Electronic device', 'Monochrome photography', 'Entertainment', 'Microphone', 'Performing Arts', 'Monochrome']","['Mick Moss', 'Hunter Metts', 'Chordify', 'Monochrome', 'Monochrome', 'Guitar', 'Album', 'Mumford & Sons', 'YouTube']"
wwZ-T_WQ03A,5847,https://i.ytimg.com/vi/wwZ-T_WQ03A/default.jpg,WHY MORTY MATTERS,"['Happiness', 'Animation']","['Cartoon', 'Animation', 'animated cartoon', 'Television', 'Meter']"
Sbp8MmSc2kQ,9001,https://i.ytimg.com/vi/Sbp8MmSc2kQ/default.jpg,,"['Uniform', 'Police officer', 'Police', 'Cap', 'Security', 'Law enforcement', 'Official', 'Security guard', 'Military Officer']","['Peter Wang', 'Uniform', 'Dailymotion', 'Girl', 'Country music', 'Spotify', 'Girl A', 'Maren Morris', 'Bella Thorne']"
